Code;Name
14WB;PACIFIC RAD S$100M4.3%N180829
14XB;MCC US$500M 2.5%B170828
14YB;LENDLEASERE S$300M3.28%N210903
14ZB;BOCAVIATIONA$200M5.375%210303
15AB;MAPLETREEGCCTRES$75M3.2%210908
15BB;BANKTOKYO US$300MF170908R
15CB;BANKTOKYO US$300MF170908A
15DB;BANKTOKYOUS$1.25B2.35%N190908R
15EB;BANKTOKYOUS$1.25B2.35%N190908A
15FB;BANKTOKYO US$1.2B1.45%N170908R
15GB;BANKTOKYO US$1.2B1.45%N170908A
15HB;BANKTOKYO US$750M2.85%N210908R
15IB;BANKTOKYO US$750M2.85%N210908A
15JB;BANKTOKYO US$1B3.25%N240908R
15KB;BANKTOKYO US$1B3.25%N240908A
15LB;KOREADEVBK US$750M2.5%N200311
15MB;JURSHIPYARD S$275M2.95%N210910
15NB;JURSHIPYARD S$325M3.85%N290910
15OB;PERPESBSNUS$1.5B4.35%N240910A
15PB;PERPESBSNUS$1.5B4.35%N240910R
15QB;NATSAVBKUS$250M5.15%N190910A
15RB;NATSAVBKUS$250M5.15%N190910R
15SB;VASTEXPAND CNY1.8B5.2%N170911
15TB;UOB A$300M F180911
15UB;SWIBER CNY450M 7.75%N170918
15XB;CAHAYACAP US$500M ETC 210918
15ZB;TRANSURBANEUR600M1.875%N240916
16AB;ICICI BK US$500M 3.5%N200318A
16BB;ICICI BK US$500M 3.5%N200318R
16CB;POWERLONGRMB1.5B10.75%N170918
16DB;VIVAITRUST S$100M4.15%N180919
16GB;IND&COMMBKCH CNY700M3.7%190923
16HB;IND&COMMBKCHCNY1.3B3.95%210923
16IB;UOB US$500M 2.5%N200318
16JB;BANGKOKDUSITMED THB10BCB190918
16KB;AURIZON EUR500M2%N240918
16LB;HDB S$500M2.288%N190919
16MB;MPM GLOBAL US$200M6.75%N190919
16NB;FALCON ENERGYS$50M5.5%N170919
16OB;KOREAWEST US$300M2.625%N190922
16PB;CAGAMASGLOB CNY1.5B3.7%N170922
16QB;MINERVA US$200M7.75%N230131TR
16SB;FCLTREA S$600M4.88%PERPSEC
16TB;JABABEKAUS$56.28M7.5%N190924A
16UB;JABABEKAUS$56.28M7.5%N190924R
16VB;NONGHYUPBKUS$300M2.75%N190929A
16WB;NONGHYUPBKUS$300M2.75%N190929R
16XB;MIZUHO BANKUS$500M F170925A
16YB;MIZUHO BANKUS$500M F170925R
16ZB;MIZUHO BANKUS$500M1.7%N170925A
17AB;MIZUHO BANKUS$500M1.7%N170925R
17BB;MIZUHOBANKUS$1B2.65%N190925A
17CB;MIZUHOBANKUS$1B2.65%N190925R
17DB;MIZUHOBANKUS$500M3.6%N240925A
17EB;MIZUHOBANKUS$500M3.6%N240925R
17FB;DATANG TEL CNY1B5.5%N170929
17IB;PTPELABU US$500M4.875%N241001A
17JB;PTPELABU US$500M4.875%N241001R
17KB;SUNTORY US$500M1.65%N170929A
17LB;SUNTORY US$500M1.65%N170929R
17MB;SUNTORY US$500M2.55%N190929A
17NB;SUNTORY US$500M2.55%N190929R
17OB;HANA BANKUS$300M4.375%N240930A
17PB;HANA BANKUS$300M4.375%N240930R
17QB;HERO ASIA US$500M2.875%B171003
17TB;EDIONCORP JPY15BCB211001
17UB;RHB BANK US$300M3.088%N191003
17VB;SEMICOND US$500M4.125%B191007A
17WB;SEMICOND US$500M4.125%B191007R
17XB;WING TAI S$120M 4%N211007
17YB;SABANASUKUKS$100M4.25%TC190403
17ZB;FCL TREA S$200M3.95%N211007
18AB;GUNMABANK US$200MCB191014
18BB;WESFARMERSEUR600M1.25%N211007
18CB;EXP-IMPBKK GBP300M2%171207
18DB;TUAN SING S$80M4.5%N191014
18EB;KEB HANABKUS$300M 4.25%N241014
18FB;SWISSCO S$100M 5.7%N180416
18GB;KOREAWATERRES US$300M2%N180416
18KB;MITSU UFJ TRUS$750M1.6%171016A
18LB;MITSU UFJ TRUS$750M1.6%171016R
18MB;MITSUUFJ TRUS$750M2.45%191016A
18OB;MITSUUFJ TRUS$750M2.45%191016R
18PB;AUSTPACAP EUR350M1.75%N241015
18QB;CHIPENGSENG S$150M4.25%N171017
18RB;SMRT CAP S$200M 1.388% N171016
18TB;NIPPONLIFEUS$2.25B5.1%N441016A
18UB;NIPPONLIFEUS$2.25B5.1%N441016R
18VB;EXP-IMPBKK NZD100M5.125%191015
18WB;AUSGROUP S$110M 7.95% N181020
18XB;EXP-IMPBKK IDR600B8%191017
18YB;LARSEN&TOUS$200M0.675%CB191022
18ZB;ASCOTTREIT S$150M5%PERPSEC
19AB;KOREA GAS US$200M3.125%N251021
19BB;IDBI BK US$350M 4.125%N200423
19DB;TEELAND S$30M 6.5% N171027
19EB;KOREA GAS US$100M3.5%N291021
19FB;EX-IMBKKUSD50M3.409%291024B
19GB;EX-IMBKKUSD50M3.409%291024A
19HB;SWIBER CAP S$50M6.25%TC171030
19IB;KOREAHYDRUS$300M2.375%N191028A
19JB;KOREAHYDRUS$300M2.375%N191028R
19KB;DR DATSONS US$13M5.32%CB191023
19LB;THEDAI-ICHILIFE US$1B5.1%PSECA
19MB;THEDAI-ICHILIFE US$1B5.1%PSECR
19NB;EXP-IMPBKK US$50M3.402%291029
19OB;HANJIN INTL US$300M F171030
19PB;EXP-IMPBK KOR U$50M3.23%261030
19QB;THECHIBABANKUS$300M2.55%191030
19RB;TATA MOTORUS$500M4.625%N200430
19SB;TATA MOTORUS$250M5.75%N241030
19UB;EXP-IMPBKKOR U$30M3.463%291031
19VB;CHHONGQIUS$300M6.875%N180503
19WB;SILICONWAREPRECUS$400MCB191031
19XB;HAITONGHK$1.164B1.25%CB191104
19YB;STOCKLANDEUR300M1.5%N211103
19ZB;CAMBRIDGE-MTNS$100M3.5%N181105
1A0;KATRINA GROUP LTD.
1A1;WONG FONG INDUSTRIES LIMITED
1A4;AGV GROUP LIMITED
1A5W;EINDEC CORPORATION  W190822
1B0;MM2 ASIA LTD.
1B1;HC SURGICAL SPECIALISTSLIMITED
1B5W;CHARISMA ENERGYSERVICESW211128
1B6;OCEAN SKY INTERNATIONAL LTD
1C0;CEDAR STRATEGIC HOLDINGS LTD
1C1W;JEP HOLDINGS LTD.W191220
1C3;SAMURAI 2K AEROSOL LIMITED
1C4W;ABUNDANCE INTERNATIONALW210130
20AB;BOCAVIATIONNCNY1.5B4.2%181105
20BB;KOREADEVBKEUR100M F191028
20CB;MAPLETREECOMMS$50M2.65%N191107
20DB;TATAINTLS$150M6.65%PCS
20EB;KOREAGASUS$50M3.3%N251105
20FB;HUTCHIWHA EUR1.5B1.375%N211031
20GB;HUTCHIWHAUS$1.5B3.625%N241031A
20HB;HUTCHIWHAUS$1.5B3.625%N241031R
20IB;HUTCHIWHAMUS$2B1.625%N171031A
20JB;HUTCHIWHAMUS$2B1.625%N171031R
20KB;KOREAGASUS$50M3.3%N251105B
20LB;GRANDCHINAAIRS$250M6%N171106
20MB;TEWOO US$400M2.875%N171103
20NB;CENTRALNIPUS$500M2.079%B191105
20OB;EXIMBKKORUS$50M3.5%N291106
20PB;JSWSTEELUS$500M4.75%N191112
20RB;CENTURYLTDUS$175M10.25%N191112
20SB;VIETNAMUS$1B4.8%N241119A
20TB;VIETNAMUS$1B4.8%N241119R
20UB;HNAGCLCNY1.25B8%N171113
20VB;JAPAN INTLUS$500M1.875%N191113
20WB;KOREADEVBKNZD100M5.125%N201113
20XB;GITI TIRE S$100M6%N171117
20YB;KOREADEVBK US$50M3.25%N241114
20ZB;EZIONS$150M7%PERPSEC
21AB;KOREADEVBK GBP250M2%N181220
21BB;KEPPELLANDS$100M2.83%N201124
21CB;ICICI BK CNY600M4%N171124
21DB;AXISBKUS$500M3.25%N200521R
21EB;AXISBKUS$500M3.25%N200521A
21FB;SHUIONDEVUS$500M8.7%N171124
21GB;ASPIALS$100M5.5%N181127
21HB;EXPIMBKORUS$50M3.5%N291119
21IB;EXPIMBKORUS$50M3.53%N291120
21JB;SEMBCORPFINS$150M3.593%N261126
21KB;SEMBCORPFINS$100M2.94%N211126
21LB;RESORTTRUSTJPY30BN211201
21MB;TERUMOCORPJPY50BN211206
21NB;TERUMOCORPJPY50BN191204
21OB;NTPCS$500M4.375%N241126
21PB;SK E&S US$300M4.875%741126R
21QB;SK E&S US$300M4.875%741126A
21RB;PT PROTEL S$180M3.25%N241127
21SB;HDBS$600M3.22%N261201
21TB;KOREAEWPWRUS$500M2.5%N200602R
21UB;KOREAEWPWRUS$500M2.5%N200602A
21VB;CHINAMERCBKCNY1B3.95%N171202
21WB;EXIMBKKORCAD325M2.711%N191205A
21XB;EXIMBKKORCAD325M2.711%N191205R
21YB;EXIMBKKORCNY300M3.35%N171128
21ZB;EXIMBKKORCNY700M3.7%N191128
22AB;QBEINSUS$700M6.75%N441202
22CB;EXIMKORUS$50M3.5%N291126
22DB;MINERAAUD100M4.125%N191203
22EB;EXIMBKKORUSD50M3.35%N261128
22FB;SUNACCHUS$400M8.75%N191205
22GB;NAGOYARAILROADJPY40BCB241211
22HB;CAGAMASGLUS$500M2.745%N191210
22IB;TEIJINJPY20BCB181212
22JB;TEIJINJPY20BCB211210
22KB;THEOITABANK US$100MCB191218
22LB;CHINAPETROCHE US$132M CB191217
22OB;ASCOTTRMTN EUR80M2.75% N241219
22RB;MACQUARIEBK AUD23M5.05%N441223
22SB;CEREBRA US$10M5.34%CB191221
22TB;VALLIANZ US$22.5M4%PERPSEC
22VB;EXP-IMPBKKOREUR30M0.255%161118
22WB;EX-IMBKKOREUR73.9M0.266%161125
22XB;EX-IMBKKOEU10.065M0.266%161125
23BB;SUMITOMITBKUS$750M1.75%N180116
23CB;SUMITOMITBK US$1B2.45%N200116
23DB;SUMITOMITBK US$500MF180116
23EB;DBS BK US$200M F200114
23GB;INDONESIAUS$2B4.125%250115A
23HB;INDONESIAUS$2B4.125%250115R
23IB;INDONESIAUS$2B5.125%450115A
23JB;INDONESIAUS$2B5.125%450115R
23KB;BKOFNOVASCOTIA US$50M Z450120
23LB;RIZALCOMBKUS$200M4.25%N200122
23MB;EXP-IMPBKK US$1B2.25%200121
23NB;EXP-IMPBKKUS$1.25B2.875%250121
23OB;WOORIBANK US$350M2.625%N200722
23PB;KOREANATOIL US$70M3.1%N270121
23QB;KOREANATOIL US$50M3.1%N270121
23RB;RELIANCEIND US$1B4.125%250128A
23SB;RELIANCEIND US$1B4.125%250128R
23TB;GALLANT VENTURE S$75M7%N170802
23UB;MAPLETREECTTS$100M3.25%N230203
23VB;ROYAL CAP US$300M PERCAPSEC
23WB;PT LOGINDO S$50M2.93%N200203
23XB;DELHIAUS$288.75M6.125%N220203
23YB;CROMWELL SPV EUR150M2%CB200204
23ZB;SECUR BK US$300M3.95%B200203
24AB;INTL HEALTHWAY S$50M6%N180206
24BB;BOCAVIATION CNY250M4.7%200205
24CB;KEPPELREITMTNS$50M3.15%N220211
24DB;PT CIPUTRA S$65M5.625%N180213
24EB;RELIANCEI US$750M4.875%450210A
24FB;RELIANCEI US$750M4.875%450210R
24GB;TBG GLOBAL US$350M5.25%220210
24HB;SHIMAOPROPUS$800M8.375%N220210
24IB;RIZALCOMBKUS$43M4.25%N200122TR
24JB;MAPLETREEGCCTHK$550M2.8%200211
24KB;EXP-IMBKINDUS$500M2.75%200812
24LB;KOREADEVBK AUD20M3.37%N220211
24MB;KOREADEVBK EUR25M F190812
24NB;EVERGRANDE US$1B12%N200217
24OB;PRATAMAAGUNGUS$300M6.25%200224
24PB;EXIMBKKORCNY243M4.5%N180217
24QB;EXIMBKKORCNY300M4.5%N180217
24RB;KOREADEVBK CNY200M4.38%N180213
24SB;EXIMBKKORCNY300M4.46%N200225
24TB;EXIMBKKORCNY250M4.5%N180225
24UB;THECHUGOKUELEC JPY50BCB200325
24VB;THECHUGOKUELEC JPY50BCB180323
24WB;JAPANAIRPORTT JPY15BCB200306
24XB;JAPANAIRPORTT JPY15BCB220304
24YB;EXIMBKKOR CNY1B4.4%N180303
24ZB;BANKTOKYO US$1.5B2.3%N200305R
25AB;BANKTOKYO US$1.5B2.3%N200305A
25BB;BANKTOKYO US$1B1.7%N180305R
25CB;BANKTOKYO US$1B1.7%N180305A
25DB;BANKTOKYO US$500MF180305R
25EB;BANKTOKYO US$500MF180305A
25FB;OCBC A$300M F190606
25GB;MAPLETREEGCCTS$100M3.43%220309
25HB;EXIMBKKOR US$50M3.02%N300304
25IB;EXP-IMPBKKORUS$50M3.02%300304
25JB;COUNTRY GARUS$900M7.5%N200309
25KB;TMB BANK CNY600M5.5%N180309
25LB;EXIMBKKOR US$30M3.044%N300306
25MB;EXIMBKKORUS$30M3.044%N300306
25NB;DBS BANK CNH336M4.4%N180306
25PB;FCLTREA S$700M5%PERPSEC
25RB;EXIMBKKOR US$40M3.087%N300310
25SB;MITSUBISHIUFJUS$500M2.5%200309
25TB;BKOFNOVASCOTIA US$50M Z450312
25UB;PERENNIALTREAS$100M4.25%180316
25WB;LODHA DEV US$200M 12% 200313
25XB;BKEASTASIAUS$15M2.25%N180316
26CB;EXIMBKKORCNY275M4.785%N190318
26DB;CWT S$100M4.8%N200318
26EB;Q & M DENTAL S$60M4.4%180319
26FB;KOREANATOIL US$90M2.99%N250319
26GB;HPHTFIN US$500M2.875%N200317R
26HB;HPHTFIN US$500M2.875%N200317A
26IB;HPHTFIN US$500M2.25%N180317R
26JB;HPHTFIN US$500M2.25%N180317A
26KB;THESHIGABK US$200MCB200323
26LB;KOREANATOIL US$85M3.21%N300319
26MB;ROWSLEY S$100M6.5%N180327
26NB;APTPIPE EUR650M2%N270322
26OB;APTPIPE GBP600M3.5%N300322
26PB;APTPIPE EUR700M1.375%N220322
26QB;WOORIBANK CNY200M4.6%N180316
26RB;EXP-IMBKKORIDR650B8.1%180324R
26SB;EXP-IMBKKORIDR650B8.1%180324A
26TB;YAMAGUCHI US$300M CB200326
26UB;MIZUHO BANKUS$500M3.2%N250326A
26VB;MIZUHO BANKUS$500M3.2%N250326R
26WB;MIZUHO BANKUS$500M1.8%N180326A
26XB;MIZUHO BANKUS$500M1.8%N180326R
26YB;MIZUHO BANKUS$500M F180326A
26ZB;MIZUHO BANKUS$500M F180326R
27AB;MIZUHO BANKUS$1B2.4%N200326A
27BB;MIZUHO BANKUS$1B2.4%N200326R
27CB;DBS BK US$20M N450320
27DB;OLAM A$150M4.875%N200326
27EB;HYUNDAICAPUS$400M2.625%200929A
27FB;HYUNDAICAPUS$400M2.625%200929R
27GB;HNA GRP INTL S$128M7%N170331
27HB;EXIMBKKOR CNY300M4.79%N190327
27IB;PALADIN US$150M7%CB200331
27JB;BOC AVIATION US$750M 3%200330A
27KB;BOC AVIATION US$750M 3%200330R
27LB;ITNLOFFSHORERMB690M7.5%N180401
27MB;EXP-IMBKINDUS$500M2.75%200401
27NB;GALLANT VENTURES$175M7%N180406
27PB;PT ASTRA US$300M2.875%N180401
27QB;EXIMBKKOR US$50M2.7%N270401
27RB;HKTCAPITAL US$500M3.625%250402
27SB;ASCENDAS HR-BTS$75M3.3%N200407
27TB;DBS BK US$20M N450407
27VB;WISDOMMARINE US$60M CB200410
27WB;HKTCAPITAL EUR200M1.65%270410
27XB;EXP-IMP BK KOR USD100M F180410
27YB;SHINHANBKUS$600M2.25%N200415A
27ZB;SHINHANBKUS$600M2.25%N200415R
28AB;OUE LTD S$300M3.8%N200415
28BB;GRANDCHAIR US$350M5.5%N170417
28CB;GRANDCHAIRUS$30.96M5.5%N180417
28DB;UOL TREASURY S$175M2.5%N180420
28EB;INDUS GAS S$100M8%N180423
28FB;CENT CHINA US$300M8.75%N210123
28GB;INDBANKKOREA US$700M2%200423R
28HB;INDBANKKOREA US$700M2%200423A
28IB;FORMOSAGRP US$1B3.375%N250422
28JB;EXP-IMP BK KOR USD50M F180423
28KB;INTL HEALTHWAY S$50M7%N170427
28LB;EXP-IMP BK KO USD50M F180423
28MB;GOLDENASSET S$125M 5.5%N180427
28NB;GLOBAL PRIMEUS$225M6.75%200427
28OB;DOOSANHIC US$500M2.125%200427R
28PB;DOOSANHIC US$500M2.125%200427A
28QB;CITIC ENVIR S$225M 4.7%N180429
28RB;DBS BK US$100M N450429
28SB;KOREA RES US$350M2.25%200429A
28TB;KOREA RES US$350M2.25%200429R
28UB;MACQUARIE AUD12.5M4.35%N450429
28VB;KOREANATOILUS$65M2.818%N250429
28WB;KOREANATOIL US$60M3.02%N300429
28YB;PTPELABU US$500M5.375%N450505R
28ZB;PTPELABU US$500M5.375%N450505A
29AB;PTPELABU US$1.1B 4.25%N250505R
29BB;PTPELABU US$1.1B 4.25%N250505A
29CB;BHARAT PET US$500M4%250508
29DB;BANKOFINDIAUS$750M3.125%200506
29EB;RELIANCEUS$300M6.5%N201106
29FB;SHINSEGAE US$300M2.625% CAPSEC
29GB;EXIMBKKORHKD850M1.57%N180511
29HB;EXIMBKKOR US$50M2.4125%N230512
29KB;MEDCO S$100M5.9%N180514
29MB;KOREADEVBK US$500M2.25%N200518
29NB;UNITEDMICROELECUS$600M N200518
29OB;SEMBCORP INDS$600M4.75%PERPSEC
29PB;TDBMONGOLIUS$500M9.375%200519A
29QB;TDBMONGOLIUS$500M9.375%200519R
29RB;CAMBRIDGE-MTNS$130M3.95%200521
29SB;SOILBUILDBIZ S$100M3.45%180521
29TB;CHINA JINGYE S$300M2.95%170521
29VB;EXP-IMP BK KOR USD100M F180521
29WB;STARHILLGBLMTNS$125M3.4%230526
29XB;IND&COMMBKCHUS$400M2%180527
29YB;AVATIONCAPUS$100M7.5%N200527A
29ZB;AVATIONCAPUS$100M7.5%N200527R
2A0B;EX-IMBKKONOK300M4.5075%230911A
2A1B;EX-IMBKKONOK300M4.5075%230911B
2A2B;EX-IMBKKONOK300M4.5075%230911C
2A3B;EX-IMBKKONOK300M4.5075%230911D
2A4B;KOREAEXP EUR75M 2.225%N180913
2A5B;KOREADEVBK US$750M 3%N190317
2A6B;PTTEP&P US$500M3.707%180916A
2A7B;PTTEP&P US$500M3.707%180916R
2A8B;SUMITOMTRBKUS$500M2.95%180914R
2A9B;SUMITOMTRBKUS$500M2.95%180914A
2AAB;DBS BK US$750M3.625% N220921A
2ABB;DBS BK US$750M3.625% N220921R
2ACB;CMT MTN US$400M3.731%N180321
2ADB;DEVBKMONG US$580M5.75%N170321
2AEB;CARMEN COPP US$300M6.5%N170321
2AFB;FUKUYAMA YEN20B CB170322
2ANB;ALAMSUTERAUS$150M10.75%170327A
2AOB;ALAMSUTERAUS$150M10.75%170327R
2APB;KOREANATOIL EUR50M4%N220328
2AQB;MBL US$250M10.25%CS570620
2ARB;NORDANGLIAUS$325M10.25%170401A
2ASB;NORDANGLIAUS$325M10.25%170401R
2ATB;MONGOLMC US$600M8.875%N170329A
2AUB;MONGOLMC US$600M8.875%N170329R
2AWB;KOREANATOILUS$1B3.125%N170403A
2AXB;KOREANATOILUS$1B3.125%N170403R
2AZB;AMTEK INDIA US$130M6%CB170406
2B2B;ICTSITUS$207.502M5.875%N250917
2B3B;EX-IMBKKOR US$500M2.875%180917
2B5B;SUMITOMOLIFE US$1BN6.5%730920A
2B6B;SUMITOMOLIFE US$1BN6.5%730920R
2B7B;PERPESBSNUS$1.5B6.125%N190315A
2B8B;PERPESBSNUS$1.5B6.125%N190315R
2B9B;FUKOKU MLIFE US$500M6.5%PSEC
2BBB;HOWESCAPITALUS$600M4.75%170410
2BCB;FCL TREA S$75M3.7%N190405
2BEB;CH RES GAS US$750M4.5%220405A
2BFB;CH RES GAS US$750M4.5%220405R
2BHB;ZOOMLION US$400M6.875%N170405A
2BIB;ZOOMLION US$400M6.875%N170405R
2BJB;KEPPEL CORP S$300M3.8%N270423
2BLB;SAMSUNGELECAUS$1B1.75%N170410A
2BMB;SAMSUNGELECAUS$1B1.75%N170410R
2BNB;EXP-IMPBKKAUD20M6.8%220411
2BQB;PCCWCAPNO.4 US$300M5.75%220417
2BSB;HL BANK US$300M3.125%N170419
2BVB;HDB S$360M1.165%N170424
2BWB;HDB S$800M2.185%N220425
2BXB;NOL S$400M 5.75%N170426
2BYB;REPUBINDOUS$2B3.75%220425A
2BZB;REPUBINDOUS$2B3.75%220425R
2C0B;HDB S$1.45B2.365%N180919
2C1B;NATSAVBKUS$750M8.875%N180918A
2C2B;NATSAVBKUS$750M8.875%N180918R
2C3B;KOREAWATERRES YEN15B 2%N181001
2C5B;ASCIANO FINGBP300M5%N230919
2C6B;KAWASAKI KK YEN50B CB180926
2C8B;AUSTPACAP EUR550M3.125%N230926
2CAB;TALENTYIELDUS$800M4.5%N220425A
2CBB;TALENTYIELDUS$800M4.5%N220425R
2CCB;3IINFOTECUS$125.356M5%CB170426
2CEB;HANA BANK US$500M 3.5%N171025A
2CFB;HANA BANK US$500M 3.5%N171025R
2CGB;INDOEXIMBK US$500M3.75%N170426
2CJB;PTBKNEGARAUS$500M4.125%N170427
2CKB;PALADIN US$274M6%CB170430
2CLB;HOTELPROPS$150M6.125%PERCAPSEC
2CMB;SUHYUP BK US$300M3.5%N170503
2CNB;PTPERTAMIUS$1.25B4.875%220503A
2COB;PTPERTAMINAUS$1.25B6%420503A
2CPB;PTPERTAMIUS$1.25B4.875%220503R
2CQB;PTPERTAMINAUS$1.25B6%420503R
2CRB;BANKCEYLONUS$500M6.875%170503A
2CSB;BANKCEYLONUS$500M6.875%170503R
2CTB;LOTTE US$400M 3.375%N170509A
2CUB;LOTTE US$400M 3.375%N170509R
2CVB;KOREAWPWR US$500M3.125%170510A
2CWB;KOREAWPWR US$500M3.125%170510R
2CXB;RHB BANK US$300M3.25%N170511
2CZB;HUTCHIWHAMPOUS$1BPERCAPSECR
2D0B;GS CALTEX US$400M3.25%N181001A
2D1B;GS CALTEX US$400M3.25%N181001R
2D2B;PERISAI CAP S$23M6.875%N161003
2D3B;WOORIBANKUS$500M2.875%N181002R
2D4B;WOORIBANKUS$500M2.875%N181002A
2D5B;NAGOYARAILROAD JPY25B CB231003
2D7B;KOREAHYDRUS$500M2.875%N181002A
2D8B;KOREAHYDRUS$500M2.875%N181002R
2D9B;BANGKOKBK US$500M3.3%N181003A
2DAB;HUTCHIWHAMPOUS$1BPERCAPSECA
2DBB;THETA CAPITAL US$150M7%N190516
2DDB;VIETINBANK US$250M8% N170517A
2DEB;VIETINBANK US$250M8% N170517R
2DHB;BANYAN S$50M6.25%N170530
2DKB;HK LAND FIN US$500M4.5%N220601
2DRB;PTTEPCANIUS$500M6.35%N420612A
2DSB;PTTEPCANIUS$500M6.35%N420612R
2DTB;HUTCHIWHAM EUR1.25B2.5%170606
2DUB;HUTCHIWHAM EUR750M3.625%220606
2DVB;EXP-IMPBKMUS$500M2.875%171214
2DYB;HDB S$500M1.52%N190618
2DZB;TELSTRA CORPA$140M6.08%N220525
2E0B;BANGKOKBK US$500M3.3%N181003R
2E1B;BANGKOKBK US$500M5%N231003A
2E2B;BANGKOKBK US$500M5%N231003R
